	color	dimension
0	white	cold
1	white	hot
2	white	ripe
3	white	unripe
4	white	new
5	white	old
6	white	submissive
7	white	aggressive
8	white	selfless
9	white	jealous
10	white	active
11	white	passive
12	white	like
13	white	dislike
14	white	clean
15	white	dirty
16	white	fresh
17	white	stale
18	white	calm
19	white	angry
20	white	happy
21	white	sad
22	white	exciting
23	white	dull
24	white	soft
25	white	hard
26	white	light
27	white	heavy
28	white	relaxed
29	white	tense
30	white	alive
31	white	dead
32	white	fast
33	white	slow
34	red	cold
35	red	hot
36	red	ripe
37	red	unripe
38	red	new
39	red	old
40	red	submissive
41	red	aggressive
42	red	selfless
43	red	jealous
44	red	active
45	red	passive
46	red	like
47	red	dislike
48	red	clean
49	red	dirty
50	red	fresh
51	red	stale
52	red	calm
53	red	angry
54	red	happy
55	red	sad
56	red	exciting
57	red	dull
58	red	soft
59	red	hard
60	red	light
61	red	heavy
62	red	relaxed
63	red	tense
64	red	alive
65	red	dead
66	red	fast
67	red	slow
68	orange	cold
69	orange	hot
70	orange	ripe
71	orange	unripe
72	orange	new
73	orange	old
74	orange	submissive
75	orange	aggressive
76	orange	selfless
77	orange	jealous
78	orange	active
79	orange	passive
80	orange	like
81	orange	dislike
82	orange	clean
83	orange	dirty
84	orange	fresh
85	orange	stale
86	orange	calm
87	orange	angry
88	orange	happy
89	orange	sad
90	orange	exciting
91	orange	dull
92	orange	soft
93	orange	hard
94	orange	light
95	orange	heavy
96	orange	relaxed
97	orange	tense
98	orange	alive
99	orange	dead
100	orange	fast
101	orange	slow
102	yellow	cold
103	yellow	hot
104	yellow	ripe
105	yellow	unripe
106	yellow	new
107	yellow	old
108	yellow	submissive
109	yellow	aggressive
110	yellow	selfless
111	yellow	jealous
112	yellow	active
113	yellow	passive
114	yellow	like
115	yellow	dislike
116	yellow	clean
117	yellow	dirty
118	yellow	fresh
119	yellow	stale
120	yellow	calm
121	yellow	angry
122	yellow	happy
123	yellow	sad
124	yellow	exciting
125	yellow	dull
126	yellow	soft
127	yellow	hard
128	yellow	light
129	yellow	heavy
130	yellow	relaxed
131	yellow	tense
132	yellow	alive
133	yellow	dead
134	yellow	fast
135	yellow	slow
136	green	cold
137	green	hot
138	green	ripe
139	green	unripe
140	green	new
141	green	old
142	green	submissive
143	green	aggressive
144	green	selfless
145	green	jealous
146	green	active
147	green	passive
148	green	like
149	green	dislike
150	green	clean
151	green	dirty
152	green	fresh
153	green	stale
154	green	calm
155	green	angry
156	green	happy
157	green	sad
158	green	exciting
159	green	dull
160	green	soft
161	green	hard
162	green	light
163	green	heavy
164	green	relaxed
165	green	tense
166	green	alive
167	green	dead
168	green	fast
169	green	slow
170	blue	cold
171	blue	hot
172	blue	ripe
173	blue	unripe
174	blue	new
175	blue	old
176	blue	submissive
177	blue	aggressive
178	blue	selfless
179	blue	jealous
180	blue	active
181	blue	passive
182	blue	like
183	blue	dislike
184	blue	clean
185	blue	dirty
186	blue	fresh
187	blue	stale
188	blue	calm
189	blue	angry
190	blue	happy
191	blue	sad
192	blue	exciting
193	blue	dull
194	blue	soft
195	blue	hard
196	blue	light
197	blue	heavy
198	blue	relaxed
199	blue	tense
200	blue	alive
201	blue	dead
202	blue	fast
203	blue	slow
204	purple	cold
205	purple	hot
206	purple	ripe
207	purple	unripe
208	purple	new
209	purple	old
210	purple	submissive
211	purple	aggressive
212	purple	selfless
213	purple	jealous
214	purple	active
215	purple	passive
216	purple	like
217	purple	dislike
218	purple	clean
219	purple	dirty
220	purple	fresh
221	purple	stale
222	purple	calm
223	purple	angry
224	purple	happy
225	purple	sad
226	purple	exciting
227	purple	dull
228	purple	soft
229	purple	hard
230	purple	light
231	purple	heavy
232	purple	relaxed
233	purple	tense
234	purple	alive
235	purple	dead
236	purple	fast
237	purple	slow
238	brown	cold
239	brown	hot
240	brown	ripe
241	brown	unripe
242	brown	new
243	brown	old
244	brown	submissive
245	brown	aggressive
246	brown	selfless
247	brown	jealous
248	brown	active
249	brown	passive
250	brown	like
251	brown	dislike
252	brown	clean
253	brown	dirty
254	brown	fresh
255	brown	stale
256	brown	calm
257	brown	angry
258	brown	happy
259	brown	sad
260	brown	exciting
261	brown	dull
262	brown	soft
263	brown	hard
264	brown	light
265	brown	heavy
266	brown	relaxed
267	brown	tense
268	brown	alive
269	brown	dead
270	brown	fast
271	brown	slow
272	black	cold
273	black	hot
274	black	ripe
275	black	unripe
276	black	new
277	black	old
278	black	submissive
279	black	aggressive
280	black	selfless
281	black	jealous
282	black	active
283	black	passive
284	black	like
285	black	dislike
286	black	clean
287	black	dirty
288	black	fresh
289	black	stale
290	black	calm
291	black	angry
292	black	happy
293	black	sad
294	black	exciting
295	black	dull
296	black	soft
297	black	hard
298	black	light
299	black	heavy
300	black	relaxed
301	black	tense
302	black	alive
303	black	dead
304	black	fast
305	black	slow
